user.userId,user.nick,user.avatar,user.fullbodyAvatar,user.isVerified,user.flair,user.countryCode,user.tierId,user.clubUserType,membership.role,membership.joinedAt,membership.isOnline,membership.xp,stats.rankedTeamDuelsStandard.numGamesPlayed,stats.rankedTeamDuelsStandard.numWins,stats.rankedTeamDuelsStandard.winRatio,stats.rankedTeamDuelsNoMove.numGamesPlayed,stats.rankedTeamDuelsNoMove.numWins,stats.rankedTeamDuelsNoMove.winRatio,stats.rankedTeamDuelsNmpz.numGamesPlayed,stats.rankedTeamDuelsNmpz.numWins,stats.rankedTeamDuelsNmpz.winRatio,stats.rankedTeamDuelsTotal.numGamesPlayed,stats.rankedTeamDuelsTotal.numWins,stats.rankedTeamDuelsTotal.winRatio,stats.battleRoyaleDistance.numGamesPlayed,stats.battleRoyaleDistance.avgPosition,stats.battleRoyaleDistance.numWins,stats.battleRoyaleDistance.winRatio,stats.battleRoyaleDistance.avgGuessDistance,stats.battleRoyaleDistance.numGuesses,stats.battleRoyaleCountry.numGamesPlayed,stats.battleRoyaleCountry.avgPosition,stats.battleRoyaleCountry.numWins,stats.battleRoyaleCountry.winRatio,stats.battleRoyaleCountry.numGuesses,stats.battleRoyaleCountry.avgCorrectGuesses,stats.battleRoyaleMedals.medalCountGold,stats.battleRoyaleMedals.medalCountSilver,stats.battleRoyaleMedals.medalCountBronze,stats.competitiveCityStreaks.numGamesPlayed,stats.competitiveCityStreaks.avgPosition,stats.competitiveCityStreaks.numWins,stats.competitiveCityStreaks.winRatio,stats.competitiveCityStreaks.numGuesses,stats.competitiveCityStreaks.avgCorrectGuesses,stats.competitiveStreaksMedals.medalCountGold,stats.competitiveStreaksMedals.medalCountSilver,stats.competitiveStreaksMedals.medalCountBronze,stats.duels.numGamesPlayed,stats.duels.avgPosition,stats.duels.numWins,stats.duels.winRatio,stats.duels.avgGuessDistance,stats.duels.numGuesses,stats.duels.numFlawlessWins,stats.duelsNoMove.numGamesPlayed,stats.duelsNoMove.avgPosition,stats.duelsNoMove.numWins,stats.duelsNoMove.winRatio,stats.duelsNoMove.avgGuessDistance,stats.duelsNoMove.numGuesses,stats.duelsNoMove.numFlawlessWins,stats.duelsNmpz.numGamesPlayed,stats.duelsNmpz.avgPosition,stats.duelsNmpz.numWins,stats.duelsNmpz.winRatio,stats.duelsNmpz.avgGuessDistance,stats.duelsNmpz.numGuesses,stats.duelsNmpz.numFlawlessWins,stats.duelsTotal.numGamesPlayed,stats.duelsTotal.avgPosition,stats.duelsTotal.numWins,stats.duelsTotal.winRatio,stats.duelsTotal.avgGuessDistance,stats.duelsTotal.numGuesses,stats.duelsTotal.numFlawlessWins,stats.duelsMedals.medalCountGold,stats.duelsMedals.medalCountSilver,stats.duelsMedals.medalCountBronze,stats.lifeTimeXpProgression.xp,stats.lifeTimeXpProgression.currentLevel.level,stats.lifeTimeXpProgression.currentLevel.xpStart,stats.lifeTimeXpProgression.nextLevel.level,stats.lifeTimeXpProgression.nextLevel.xpStart,stats.lifeTimeXpProgression.currentTitle.id,stats.lifeTimeXpProgression.currentTitle.tierId,stats.lifeTimeXpProgression.currentTitle.minimumLevel,stats.lifeTimeXpProgression.currentTitle.name,stats.totalMedals.medalCountGold,stats.totalMedals.medalCountSilver,stats.totalMedals.medalCountBronze,stats.teamDuels.numGamesPlayed,stats.teamDuels.numWins,stats.teamDuels.winRatio,stats.perfectRounds,peakRating.peakOverallRating,peakRating.peakGameModeRatings.standardDuels,peakRating.peakGameModeRatings.noMoveDuels,peakRating.peakGameModeRatings.nmpzDuels
5a3c9f5e7842b6d10c9a3e47,geo11,pin/60421ad76683ba925b4d9aaf609cb382.png,pin/74f4dbff9f4cfde7bdb5423a603ee24a.png,FALSE,1,us,120,1,2,2025-07-05T03:36:45.7090000+00:00,TRUE,80,0,0,0,0,0,0,0,0,0,0,0,0,478,3.2196653,126,0.26359832,1368241.8,3524,365,3.709589,83,0.22739726,2168,0.52490777,0,0,0,0,0,0,0,0,0,0,0,0,607,1.4678748,323,0.53212523,1267916.4,3618,69,298,1.5604026,131,0.4395973,2140775.2,1873,16,3,2,0,0,4788580.5,16,0,908,1.6760925,454,0.5,2732424.2,5507,85,0,0,0,618307,115,611010,116,625370,320,120,110,Master Explorer Supreme,0,0,0,824,538,0.6529126,550,885,,,
691d7a2fc0534b9a6e4c812d,geo12,pin/60fc2a4f3a602414531c109ea43cc739.png,pin/5809e4cb3886cbade2a5d2d9510e33be.png,FALSE,0,us,40,1,2,2025-07-05T00:37:03.5750000+00:00,FALSE,80,10,6,0.6,1,1,1,0,0,0,11,7,0.6363636,15,5.6,0,0,2871831,73,20,3.75,4,0.2,117,0.46153846,0,0,0,0,0,0,0,0,0,0,0,0,246,1.5406504,113,0.4593496,1622385,1257,27,40,1.6,16,0.4,2895891.5,219,3,0,0,0,0,0,0,0,286,1.0468835,129,0.45104894,1506092.1,1476,30,0,0,0,34037,38,33110,39,35330,120,40,37,Master Seeker,0,0,0,23,12,0.5217391,17,638,662,614,
5bfa9472e1d60a5c8d3e29bf,geo13,pin/dda340f403b8d1448652018218d51586.png,pin/c09847e03241a1833c506fcfef3cbd63.png,FALSE,0,us,50,1,2,2025-07-05T00:34:30.9830000+00:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4.741071,7,0.0625,2685582.5,754,93,5.16129,6,0.06451613,500,0.342,0,0,0,0,0,0,0,0,0,0,0,0,223,1.5695068,96,0.43049327,1772371.4,1193,18,41,1.6341463,15,0.36585367,2930580.8,219,4,0,0,0,0,0,0,0,264,1.0678843,111,0.42045453,1567650.6,1412,22,0,0,0,52912,45,50750,46,53680,140,50,43,Voyager,0,0,0,0,0,0,29,586,618,485,
56ae1d5c3b7f904e2a6c9f81,geo14,pin/1a6134ff58f072bdda35a699ba4425fc.png,pin/447f799df8ad704a64dc160c0262fed8.png,FALSE,0,us,130,1,2,2025-07-04T23:29:56.1900000+00:00,FALSE,220,5,1,0.2,7,2,0.2857143,0,0,0,12,3,0.25,128,4,18,0.140625,1429692.2,708,2,3.5,0,0,9,0.44444445,0,0,0,0,0,0,0,0,0,0,0,0,878,1.4703872,465,0.5296128,1492977.5,4895,56,1205,1.500415,602,0.49958506,1403030.2,8179,66,55,1.4909091,28,0.5090909,3436957.8,319,6,2138,1.487237,1095,0.5121609,2110988.5,13393,128,0,0,0,697351,120,685040,121,700520,330,130,120,Master Explorer Elite,0,0,0,3,3,1,26,1055,790,1004,986
5c2e94af13d7b0e6a4c83d91,geo15,pin/59c5dfc7221845bf3ee894706b4c41c0.png,pin/b1ce6a5f5dedea50004cea1dcadae150.png,FALSE,0,nl,80,1,2,2025-07-04T23:14:15.7690000+00:00,FALSE,40,178,81,0.4550562,12,5,0.41666666,3,0,0,193,86,0.44559586,16,3.0625,4,0.25,1542386.1,137,459,4.111111,94,0.20479302,3206,0.50966936,0,0,0,0,0,0,0,0,0,0,0,0,262,1.5267175,124,0.47328246,2310760.5,1444,19,1,2,0,0,4927582,6,0,0,0,0,0,0,0,0,263,1.1755725,124,0.4714829,2412780.8,1450,19,0,0,0,215216,78,215010,79,222520,240,80,77,Master Trailblazer,0,0,0,0,0,0,109,721,730,,
5bf1c8209e3d76fa5c4b01a2,geo16,pin/f5646e155b31836ea19b837e6c7addf8.png,pin/b668c742e480b59aed9132e09d8f759e.png,FALSE,0,us,50,1,2,2025-07-04T23:03:01.3660000+00:00,FALSE,180,19,10,0.5263158,0,0,0,0,0,0,19,10,0.5263158,7,3.857143,1,0.14285715,2346653,45,9,4.888889,0,0,45,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,369,1.5338753,172,0.46612465,1433943.4,2030,31,1,2,0,0,4195931.5,8,0,0,0,0,0,0,0,0,370,1.1779585,172,0.46486485,1876625,2038,31,0,0,0,42708,42,42590,43,45210,130,50,40,Rookie Voyager,0,0,0,0,0,0,4,632,647,,
6d4c7f91b0e5a6c23a91d7f8,geo17,pin/048635f95cbc5c1b150bfb167a9c7b14.png,pin/4b923c3fa5c34e291e0b2b6e8332525a.png,FALSE,1,us,90,1,2,2025-07-04T21:01:25.7740000+00:00,FALSE,100,153,110,0.71895427,764,397,0.51963353,150,75,0.5,1067,582,0.54545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1.5111111,66,0.4888889,1957426,778,8,337,1.4718101,178,0.5281899,1376836,2237,16,88,1.4318181,50,0.5681818,2072066.1,527,12,560,1.4715799,294,0.525,1802109.4,3542,36,0,0,0,236393,80,230200,81,238050,250,90,80,Rookie Globetrotter,0,0,0,194,140,0.72164947,39,1131,,995,1033
5ee72a6fd1b04c7a5f2e8cb0,geo18,pin/7fed2ffe0527031f71cd379271c27587.png,pin/84577428aa2e7416d656a86ce7c107e0.png,FALSE,0,gb,90,1,2,2025-07-04T16:10:29.1060000+00:00,TRUE,160,1,0,0,2,1,0.5,0,0,0,3,1,0.33333334,68,2.7794118,23,0.3382353,1007940.5,670,551,2.8366606,179,0.32486388,4152,0.65510595,0,0,0,0,0,0,0,0,0,0,0,0,161,1.4596273,87,0.54037267,908991.9,1222,1,8,1.625,3,0.375,2000332.2,51,0,4,1.75,1,0.25,3618430.8,25,0,173,1.6115423,91,0.5260116,2175918.2,1298,1,1,0,0,234529,80,230200,81,238050,250,90,80,Rookie Globetrotter,1,0,0,111,70,0.6306306,106,953,,,
682f3e9d1a54c7b0e93c5a2f,geo19,pin/b874c3068985939749466a4c25d9a1fc.png,pin/f2927958a3c05de9b5c9bd3c0720b53f.png,FALSE,0,us,110,1,2,2025-07-04T15:20:44.5210000+00:00,FALSE,0,9,7,0.7777778,184,87,0.4728261,21,9,0.42857143,214,103,0.4813084,729,3.1632373,187,0.25651577,1493305.6,5010,20,3.5,2,0.1,109,0.6513761,0,0,0,0,0,0,0,0,0,0,0,0,657,1.43379,372,0.56621003,767272.4,4826,31,772,1.5284975,364,0.4715026,1132254.8,5852,27,144,1.6041666,57,0.39583334,2236607.2,951,9,1573,1.5221514,793,0.5041322,1378711.5,11629,67,0,0,0,522866,108,516500,109,529370,310,110,100,Master Explorer Pro,0,0,0,283,242,0.8551237,224,1325,,1310,1031
5af9d8c13e7b062afc1e9045,geo20,pin/7b1b2a1a690a2516e42f01c726070936.png,pin/c95eca20c3d0bf715f04e833908ac06f.png,FALSE,0,us,50,1,2,2025-07-04T06:17:46.6140000+00:00,FALSE,0,1,1,1,63,26,0.41269842,11,7,0.6363636,75,34,0.45333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1.4716982,56,0.5283019,1618212.4,583,8,144,1.5416666,66,0.45833334,2909126.2,841,9,0,0,0,0,0,0,0,250,1.004455,122,0.488,1509112.9,1424,17,0,0,0,40653,41,40070,42,42590,130,50,40,Rookie Voyager,0,0,0,9,7,0.7777778,10,674,,652,
